Neighbourhood,assault 2014,assault 2015,assault 2016,assault 2017,assault 2018,assault 2019,assault 2020,assault 2021,assault 2022,assault 2023,autotheft 2014,autotheft 2015,autotheft 2016,autotheft 2017,autotheft 2018,autotheft 2019,autotheft 2020,autotheft 2021,autotheft 2022,autotheft 2023,biketheft 2014,biketheft 2015,biketheft 2016,biketheft 2017,biketheft 2018,biketheft 2019,biketheft 2020,biketheft 2021,biketheft 2022,biketheft 2023,breakenter 2014,breakenter 2015,breakenter 2016,breakenter 2017,breakenter 2018,breakenter 2019,breakenter 2020,breakenter 2021,breakenter 2022,breakenter 2023,homicide 2014,homicide 2015,homicide 2016,homicide 2017,homicide 2018,homicide 2019,homicide 2020,homicide 2021,homicide 2022,homicide 2023,robbery 2014,robbery 2015,robbery 2016,robbery 2017,robbery 2018,robbery 2019,robbery 2020,robbery 2021,robbery 2022,robbery 2023,shooting 2014,shooting 2015,shooting 2016,shooting 2017,shooting 2018,shooting 2019,shooting 2020,shooting 2021,shooting 2022,shooting 2023,theftfrommv 2014,theftfrommv 2015,theftfrommv 2016,theftfrommv 2017,theftfrommv 2018,theftfrommv 2019,theftfrommv 2020,theftfrommv 2021,theftfrommv 2022,theftfrommv 2023,theftover 2014,theftover 2015,theftover 2016,theftover 2017,theftover 2018,theftover 2019,theftover 2020,theftover 2021,theftover 2022,theftover 2023
Woodbine-Lumsden,51,41,36,34,41,35,31,33,41,32,2,6,2,1,2,8,4,9,22,16,5,3,7,2,6,8,7,3,1,5,36,18,14,10,14,10,12,11,6,12,0,1,0,1,0,1,0,0,0,1,5,7,3,6,6,3,6,2,5,0,0,0,1,1,1,0,0,0,0,0,49,35,36,17,34,35,38,32,15,13,2,3,6,0,3,5,1,0,1,4
Danforth East York,75,56,50,82,84,88,59,61,70,102,6,10,12,9,14,9,16,16,51,51,5,4,21,9,9,12,21,22,13,4,31,24,42,25,18,24,33,23,26,12,0,0,0,0,0,0,1,0,0,0,4,10,6,10,11,11,9,6,5,4,0,0,0,1,1,1,0,1,0,0,60,66,43,19,38,83,59,58,50,45,1,3,4,0,3,8,5,4,3,4
Old East York,47,50,39,40,58,45,28,35,67,63,3,5,6,0,9,4,8,19,22,32,4,2,1,5,3,0,8,4,7,6,21,11,26,17,28,13,15,6,22,7,0,0,1,0,1,0,0,0,0,0,17,4,8,4,6,9,5,7,7,6,0,1,1,1,1,0,1,0,2,2,35,32,17,21,20,36,28,21,26,27,4,3,2,2,0,3,4,5,1,1
Runnymede-Bloor West Village,27,39,37,32,31,43,32,25,42,58,15,12,9,20,26,29,17,20,30,42,21,19,15,21,5,8,8,7,5,15,21,25,22,19,22,27,29,12,22,31,0,0,0,0,0,0,0,0,1,0,12,19,14,14,19,20,7,5,13,18,0,1,0,0,0,0,0,0,0,1,32,29,18,21,20,35,15,24,19,19,1,1,1,0,2,2,3,8,0,6
High Park North,80,91,90,105,103,91,89,95,129,187,8,14,7,9,20,25,18,22,36,41,32,36,46,60,53,50,58,29,33,28,17,70,28,54,62,68,32,38,32,54,1,0,0,0,0,0,0,0,1,1,15,23,28,35,25,11,17,10,14,24,0,0,0,0,0,0,0,0,0,0,35,21,18,42,29,45,46,27,53,26,5,2,2,2,4,5,4,5,6,4
High Park-Swansea,88,123,97,97,84,103,78,87,101,106,19,16,12,14,21,29,42,26,76,54,19,22,57,33,46,35,20,31,16,19,46,50,32,40,45,54,50,28,50,52,0,0,0,0,0,1,0,0,1,1,25,41,18,27,13,26,10,12,13,9,0,1,4,3,2,3,2,2,3,3,54,71,51,57,27,58,50,33,42,40,8,5,5,10,3,13,8,4,5,10
Roncesvalles,78,117,119,112,85,112,111,90,98,136,12,6,12,20,22,14,15,18,22,28,26,42,28,72,68,54,45,24,21,21,38,36,42,48,75,95,67,67,53,48,0,0,0,0,2,1,0,0,0,0,24,20,30,25,22,25,22,12,17,21,0,0,4,6,2,5,1,3,0,1,23,28,34,59,55,45,51,41,42,39,2,2,3,12,5,10,4,8,8,5
South Parkdale,205,227,237,235,220,256,251,274,274,324,13,20,23,19,17,22,17,17,33,43,26,24,31,46,44,78,50,32,29,30,45,51,71,58,78,89,89,63,61,63,0,0,1,0,0,1,0,0,1,0,24,39,41,31,37,34,19,20,9,23,0,1,7,6,6,2,4,4,3,0,79,43,49,86,44,55,41,52,59,34,5,4,9,11,9,24,13,6,10,21
Little Portugal,82,80,110,93,87,88,84,107,113,129,11,14,12,18,12,11,28,7,26,23,39,40,41,81,56,64,74,42,19,17,41,39,40,40,56,58,54,40,32,32,1,2,1,0,1,0,0,0,0,0,11,7,9,13,12,10,9,10,14,15,0,1,0,0,1,1,0,1,0,1,25,32,31,44,31,41,43,26,30,45,5,1,4,2,11,9,6,7,4,10
Dufferin Grove,94,91,94,85,118,91,86,89,86,148,12,7,8,11,17,6,18,20,10,18,26,40,45,45,30,45,37,28,37,58,28,34,27,25,46,44,56,29,27,36,0,0,1,0,0,0,1,0,0,0,33,34,21,13,26,32,20,4,19,29,0,0,1,2,2,0,3,2,2,1,54,30,38,34,48,45,47,24,25,39,8,5,3,3,9,8,4,3,6,8
